0,iphone-11,24/03/2022 22:46:18,589,639
1,iphone-12,24/03/2022 22:46:18,689,979
2,iphone-13,24/03/2022 22:46:19,1029,929
3,iphone-13-pro,24/03/2022 22:46:19,1159,1839
4,iphone-se,24/03/2022 22:46:21,529,699
0,iphone-11,24/03/2022 22:47:17,589,639
1,iphone-12,24/03/2022 22:47:18,689,979
2,iphone-13,24/03/2022 22:47:18,1029,929
3,iphone-13-pro,24/03/2022 22:47:18,1159,1839
4,iphone-se,24/03/2022 22:47:19,529,699
